epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,12520.2,0.2609,0.36328,0.86656,0.99372,0.98126,0.99399,0.99165,0.12707,0.11474,0.76998,0.0085546,0.0085546,0.0085546
148,12605.1,0.26257,0.37456,0.86702,0.99042,0.98313,0.99417,0.9921,0.12519,0.1141,0.76967,0.0085447,0.0085447,0.0085447
149,12690,0.26111,0.37106,0.86934,0.98956,0.98596,0.9943,0.99226,0.1251,0.11153,0.76923,0.0085348,0.0085348,0.0085348
150,12774.2,0.25932,0.36934,0.86508,0.98989,0.98339,0.99427,0.99217,0.12547,0.11275,0.76917,0.0085249,0.0085249,0.0085249
151,12859.1,0.2573,0.35488,0.86238,0.99415,0.98197,0.99438,0.99252,inf,0.11045,0.76898,0.008515,0.008515,0.008515
152,12944.5,0.2595,0.36551,0.86462,0.99146,0.98416,0.99422,0.99236,0.12355,0.11059,0.76884,0.0085051,0.0085051,0.0085051
153,13029.3,0.25986,0.36106,0.86789,0.99345,0.98169,0.99426,0.99226,0.12497,0.11104,0.76936,0.0084952,0.0084952,0.0084952
154,13113.4,0.25919,0.3677,0.86611,0.99164,0.98447,0.99405,0.99188,0.12348,0.11072,0.76917,0.0084853,0.0084853,0.0084853
155,13198.2,0.25531,0.3597,0.86557,0.99009,0.98481,0.99389,0.99171,inf,0.1117,0.76904,0.0084754,0.0084754,0.0084754
156,13282.8,0.26001,0.36282,0.86536,0.98848,0.9862,0.99389,0.99174,0.12445,0.11045,0.76944,0.0084655,0.0084655,0.0084655
157,13366.8,0.26035,0.36384,0.86947,0.98819,0.98794,0.994,0.99162,0.12644,0.11089,0.76997,0.0084556,0.0084556,0.0084556
158,13451.3,0.25543,0.36177,0.86458,0.99026,0.98731,0.99408,0.99162,0.12767,0.11001,0.76989,0.0084457,0.0084457,0.0084457
159,13535.3,0.25722,0.36746,0.86521,0.99073,0.98568,0.99437,0.99204,0.12564,0.10977,0.76925,0.0084358,0.0084358,0.0084358
160,13619.7,0.25859,0.37015,0.86849,0.9924,0.98456,0.9945,0.99238,0.12409,0.10765,0.76905,0.0084259,0.0084259,0.0084259
161,13703.4,0.25419,0.35773,0.86266,0.99205,0.98339,0.99442,0.99229,0.1232,0.10746,0.76887,0.008416,0.008416,0.008416
162,13787.7,0.25197,0.35738,0.86322,0.98853,0.98632,0.99427,0.99229,0.12312,0.10941,0.76892,0.0084061,0.0084061,0.0084061
163,13872.5,0.25556,0.36642,0.86634,0.99254,0.98402,0.99424,0.99242,0.12326,0.10921,0.76897,0.0083962,0.0083962,0.0083962
164,13956.7,0.25687,0.36828,0.86448,0.98965,0.98675,0.99437,0.99262,0.12288,0.10942,0.76863,0.0083863,0.0083863,0.0083863
165,14040.6,0.25623,0.36574,0.86506,0.98971,0.9872,0.99455,0.99283,0.12288,0.10793,0.7684,0.0083764,0.0083764,0.0083764
166,14124.8,0.25262,0.36239,0.86627,0.98981,0.98702,0.99457,0.99295,0.1215,0.10679,0.76806,0.0083665,0.0083665,0.0083665
167,14209.6,0.25815,0.36126,0.86506,0.99366,0.98215,0.99453,0.99288,0.11965,0.10653,0.76758,0.0083566,0.0083566,0.0083566
168,14294.1,0.25053,0.35172,0.86293,0.99309,0.98391,0.99452,0.99266,0.11858,0.10521,0.76753,0.0083467,0.0083467,0.0083467
169,14378.9,0.25426,0.35294,0.86283,0.99341,0.98392,0.99447,0.99226,0.11796,0.10406,0.76732,0.0083368,0.0083368,0.0083368
170,14463.3,0.25774,0.36648,0.86943,0.99174,0.98621,0.99452,0.99281,0.11774,0.10274,0.76696,0.0083269,0.0083269,0.0083269
171,14548.2,0.25702,0.37129,0.86518,0.99157,0.9879,0.99448,0.99265,0.11836,0.10315,0.76754,0.008317,0.008317,0.008317
172,14632.2,0.25306,0.35891,0.86444,0.99147,0.98676,0.99449,0.99263,0.11853,0.10422,0.76739,0.0083071,0.0083071,0.0083071
173,14716.6,0.25305,0.36012,0.86004,0.99027,0.98822,0.9946,0.99263,0.11879,0.10358,0.76715,0.0082972,0.0082972,0.0082972
174,14801,0.2496,0.35574,0.8612,0.98981,0.98865,0.99456,0.99267,0.11904,0.10417,0.76705,0.0082873,0.0082873,0.0082873
175,14885.1,0.2525,0.36262,0.86697,0.99122,0.98597,0.99447,0.9927,0.1183,0.10354,0.7668,0.0082774,0.0082774,0.0082774
176,14968.7,0.25424,0.3576,0.86408,0.99042,0.98695,0.99423,0.99267,0.11758,0.10351,0.76698,0.0082675,0.0082675,0.0082675
177,15053.4,0.24839,0.35456,0.86126,0.99131,0.98606,0.99429,0.99264,0.11734,0.10363,0.76692,0.0082576,0.0082576,0.0082576
178,15137.8,0.24879,0.35887,0.86328,0.99126,0.98704,0.99438,0.99289,0.1169,0.10297,0.76685,0.0082477,0.0082477,0.0082477
179,15222,0.24846,0.34727,0.86036,0.99253,0.98607,0.99447,0.99291,0.11614,0.10093,0.76669,0.0082378,0.0082378,0.0082378
180,15305.7,0.25382,0.35681,0.86307,0.99121,0.98752,0.99455,0.99309,0.11618,0.10087,0.7666,0.0082279,0.0082279,0.0082279
181,15390.1,0.24913,0.34461,0.86202,0.99104,0.9872,0.99449,0.99302,0.11674,0.10148,0.76648,0.008218,0.008218,0.008218
